DEPTH,CON_MEAN_DYNA,DIS_MEAN_DYNA,HOM_MEAN_DYNA,ENG_MEAN_DYNA,COR_MEAN_DYNA,ASM_MEAN_DYNA,ENT_MEAN_DYNA,CON_SUB_DYNA,DIS_SUB_DYNA,HOM_SUB_DYNA,ENG_SUB_DYNA,COR_SUB_DYNA,ASM_SUB_DYNA,ENT_SUB_DYNA,CON_X_DYNA,DIS_X_DYNA,HOM_X_DYNA,ENG_X_DYNA,COR_X_DYNA,ASM_X_DYNA,ENT_X_DYNA,CON_Y_DYNA,DIS_Y_DYNA,HOM_Y_DYNA,ENG_Y_DYNA,COR_Y_DYNA,ASM_Y_DYNA,ENT_Y_DYNA
2193.17486,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.20026,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.22566,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.25106,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.27646,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.30186,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.32726,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.35266,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.37806,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.40346,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.42886,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.45426,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.47966,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.50506,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.53046,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.55586,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.58126,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.60666,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.63206,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.65746,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.68286,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.70826,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.73366,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.75906,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.78446,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.80986,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.83526,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.86066,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.88606,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.91146,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.93686,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.96226,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2193.98766,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.01306,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.03846,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.06386,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.08926,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.11466,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.14006,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.16546,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.19086,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.21626,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.24166,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.26706,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.29246,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.31786,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.34326,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.36866,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.39406,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.41946,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.44486,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.47026,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.49566,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.52106,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.54646,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.57186,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.59726,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.62266,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.64806,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.67346,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.69886,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.72426,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.74966,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.77506,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.80046,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.82586,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.85126,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.87666,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.90206,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.92746,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.95286,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2194.97826,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.00366,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.02906,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.05446,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.07986,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.10526,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.13066,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.15606,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.18146,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.20686,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.23226,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.25766,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.28306,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.30846,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.33386,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
